MIN=0	0	0	-0,1	0
MAX=40	30	10	13	80
SCALE=40	10	5	5	10
DEC=1	2	2	2	2
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Corriente del colector" I_A / nA	"Tensión de aceleración" U_B / V
24,7	7,62	6,25	7,62	62,5
24,799	7,605	6,28	7,605	62,8
24,9	7,56	6,3	7,56	63
24,999	7,485	6,32	7,485	63,2
25,1	7,41	6,345	7,41	63,45
25,2	7,35	6,37	7,35	63,7
25,299	7,32	6,395	7,32	63,95
25,4	7,29	6,42	7,29	64,2
25,499	7,275	6,44	7,275	64,4
25,6	7,245	6,465	7,245	64,65
25,7	7,23	6,49	7,23	64,9
25,799	7,2	6,515	7,2	65,15
25,899	7,17	6,54	7,17	65,4
26	7,17	6,56	7,17	65,6
26,1	7,17	6,585	7,17	65,85
26,2	7,17	6,61	7,17	66,1
26,3	7,17	6,635	7,17	66,35
26,399	7,2	6,655	7,2	66,55
26,499	7,215	6,68	7,215	66,8
26,6	7,23	6,7	7,23	67
26,7	7,26	6,725	7,26	67,25
26,8	7,29	6,75	7,29	67,5
26,9	7,335	6,775	7,335	67,75
26,999	7,38	6,8	7,38	68
27,099	7,44	6,82	7,44	68,2
27,2	7,5	6,845	7,5	68,45
27,299	7,575	6,87	7,575	68,7
27,399	7,65	6,895	7,65	68,95
27,5	7,725	6,915	7,725	69,15
27,6	7,8	6,935	7,8	69,35
27,7	7,905	6,96	7,905	69,6
27,8	7,98	6,985	7,98	69,85
27,9	8,025	7,01	8,025	70,1
28	8,115	7,03	8,115	70,3
28,1	8,22	7,055	8,22	70,55
28,2	8,325	7,08	8,325	70,8
28,3	8,43	7,1	8,43	71
28,4	8,535	7,12	8,535	71,2
28,5	8,64	7,15	8,64	71,5
28,6	8,745	7,17	8,745	71,7
28,701	8,85	7,195	8,85	71,95
28,8	8,955	7,22	8,955	72,2
28,9	9,06	7,24	9,06	72,4
29	9,165	7,265	9,165	72,65
29,099	9,27	7,29	9,27	72,9
29,2	9,33	7,31	9,33	73,1
29,3	9,435	7,335	9,435	73,35
29,4	9,555	7,355	9,555	73,55
29,499	9,66	7,38	9,66	73,8
29,6	9,75	7,405	9,75	74,05
29,699	9,855	7,425	9,855	74,25
29,8	9,96	7,45	9,96	74,5
29,899	10,065	7,47	10,065	74,7
30	10,14	7,495	10,14	74,95
30,101	10,245	7,515	10,245	75,15
30,201	10,335	7,54	10,335	75,4
30,3	10,41	7,565	10,41	75,65
30,4	10,5	7,585	10,5	75,85
30,5	10,545	7,61	10,545	76,1
30,6	10,605	7,635	10,605	76,35
30,7	10,68	7,66	10,68	76,6
30,799	10,74	7,68	10,74	76,8
30,899	10,83	7,705	10,83	77,05
31	10,905	7,725	10,905	77,25
31,1	10,98	7,75	10,98	77,5
31,199	11,07	7,775	11,07	77,75
31,301	11,145	7,795	11,145	77,95
31,4	11,19	7,82	11,19	78,2
31,5	11,235	7,84	11,235	78,4
31,599	11,265	7,865	11,265	78,65
31,7	11,31	7,885	11,31	78,85
31,799	11,34	7,91	11,34	79,1
31,899	11,415	7,93	11,415	79,3
31,999	11,49	7,95	11,49	79,5
32,099	11,49	7,95	11,49	79,5
32,199	11,475	7,945	11,475	79,45
32,3	11,49	7,95	11,49	79,5
32,4	11,49	7,95	11,49	79,5
32,5	11,49	7,945	11,49	79,45
32,599	11,49	7,945	11,49	79,45
32,699	11,49	7,95	11,49	79,5
32,799	11,49	7,95	11,49	79,5
32,9	11,49	7,95	11,49	79,5
33	11,49	7,945	11,49	79,45
33,1	11,49	7,945	11,49	79,45
33,199	11,49	7,95	11,49	79,5
33,3	11,49	7,945	11,49	79,45
33,4	11,49	7,945	11,49	79,45
33,5	11,505	7,945	11,505	79,45
33,6	11,505	7,945	11,505	79,45
33,699	11,505	7,95	11,505	79,5
33,8	11,505	7,945	11,505	79,45
33,899	11,505	7,945	11,505	79,45
33,999	11,49	7,945	11,49	79,45
34,1	11,49	7,95	11,49	79,5
34,201	11,505	7,945	11,505	79,45
34,301	11,505	7,95	11,505	79,5
34,4	11,505	7,945	11,505	79,45
34,499	11,505	7,945	11,505	79,45
34,599	11,505	7,95	11,505	79,5
34,699	11,49	7,945	11,49	79,45
34,8	11,505	7,945	11,505	79,45
34,9	11,49	7,95	11,49	79,5
35	11,49	7,945	11,49	79,45
35,1	11,505	7,945	11,505	79,45
35,2	11,505	7,95	11,505	79,5
35,3	11,505	7,945	11,505	79,45
35,4	11,505	7,95	11,505	79,5
35,499	11,505	7,95	11,505	79,5
35,599	11,505	7,945	11,505	79,45
35,7	11,505	7,95	11,505	79,5
35,8	11,505	7,945	11,505	79,45
35,899	11,505	7,95	11,505	79,5
36	11,505	7,945	11,505	79,45
36,1	11,52	7,95	11,52	79,5
36,2	11,505	7,945	11,505	79,45
36,3	11,505	7,945	11,505	79,45
36,4	11,505	7,95	11,505	79,5
36,5	11,505	7,95	11,505	79,5
36,6	11,505	7,95	11,505	79,5
36,699	11,505	7,95	11,505	79,5
36,8	11,52	7,95	11,52	79,5
36,9	11,52	7,95	11,52	79,5
36,999	11,505	7,95	11,505	79,5
37,099	11,505	7,95	11,505	79,5
37,199	11,52	7,945	11,52	79,45
37,299	11,52	7,95	11,52	79,5
37,4	11,52	7,945	11,52	79,45
37,5	11,52	7,95	11,52	79,5
37,601	11,505	7,95	11,505	79,5
37,7	11,52	7,95	11,52	79,5
37,8	11,52	7,945	11,52	79,45
37,9	11,52	7,95	11,52	79,5
38	11,52	7,95	11,52	79,5
38,099	11,52	7,95	11,52	79,5
38,2	11,52	7,945	11,52	79,45
38,3	11,52	7,945	11,52	79,45
38,399	11,52	7,95	11,52	79,5
38,5	11,52	7,95	11,52	79,5
38,599	11,52	7,945	11,52	79,45
38,7	11,535	7,945	11,535	79,45
38,799	11,535	7,945	11,535	79,45
38,9	11,535	7,95	11,535	79,5
39,001	11,52	7,95	11,52	79,5
39,1	11,52	7,95	11,52	79,5
39,2	11,52	7,95	11,52	79,5
39,3	11,52	7,95	11,52	79,5
39,401	11,535	7,95	11,535	79,5
39,5	11,535	7,95	11,535	79,5
39,6	11,535	7,95	11,535	79,5
39,7	11,535	7,95	11,535	79,5
39,799	11,535	7,95	11,535	79,5
39,899	11,535	7,945	11,535	79,45
40	11,535	7,95	11,535	79,5
